model,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,train_seconds
Random Forest,0.7630434782608695,0.6529324206573782,0.68125,0.6644313210569666,0.8189583333333333,0.7467532467532467,0.6271186440677966,0.6851851851851852,0.6548672566371682,0.8292592592592593,0.31749329566955564
Logistic Regression,0.7586956521739131,0.6425718725718725,0.7,0.6668680920042329,0.8321875000000001,0.7272727272727273,0.5967741935483871,0.6851851851851852,0.6379310344827587,0.8155555555555556,0.015634727478027344
Gradient Boosting,0.7608695652173912,0.7057671957671957,0.56875,0.6227114785300605,0.8021874999999999,0.7142857142857143,0.6136363636363636,0.5,0.5510204081632653,0.807962962962963,0.2330615520477295
